Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A880316,Hennesey,01/02/2024 09:46:00 AM,January 2024,2216 Corta Street in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull,Tan
A895635,Stevie,01/02/2024 10:39:00 AM,January 2024,Burnet Rd And 180 Hwy in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Black
A895641,Sebastian,01/02/2024 11:04:00 AM,January 2024,Jester Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby/White
A895640,Tony,01/02/2024 11:04:00 AM,January 2024,Jester Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby
A895639,,01/02/2024 11:04:00 AM,January 2024,Jester Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby
A895636,*Nubbins,01/02/2024 11:06:00 AM,January 2024,6625 Mckinney Falls Parkway in Austin (TX),Stray,Injured,Cat,Intact Male,1 weeks,Domestic Medium Hair,White/Brown Tabby
A890261,Scout,01/02/2024 12:08:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Labrador Retriever/Pit Bull,White/Black
A895662,*Fennel,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A895658,Myla,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White
A895661,*Cardamom,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black
A895659,*Nutmeg,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White
A895656,,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby
A895663,*Pepper,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black
A895660,*Clove,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A895657,*Cinnamon,01/02/2024 12:46:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White
A895654,Rilee,01/02/2024 01:10:00 PM,January 2024,1165 Angelina Street in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,German Shepherd Mix,Black
A895680,Phoenix Tygga / Merlin,01/02/2024 01:53:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Blue
A895668,,01/02/2024 01:53:00 PM,January 2024,2811 Vernon Ave in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair,Blue Tabby/White
A895669,,01/02/2024 02:00:00 PM,January 2024,8104 Taza Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Longhair,Brown Tabby
A895676,,01/02/2024 02:31:00 PM,January 2024,427 Marlock Ridge in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Medium Hair,White/Orange Tabby
A895675,,01/02/2024 02:31:00 PM,January 2024,427 Marlock Ridge in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Medium Hair,Torbie
A895674,Bronco,01/02/2024 02:31:00 PM,January 2024,427 Marlock Ridge in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair,Black/White
A895677,June,01/02/2024 02:37:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 years,Domestic Medium Hair,Tortie Point
A895678,Bean,01/02/2024 02:37:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/White
A765182,Dino,01/02/2024 04:01:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Labrador Retriever,Black/White
A895689,Girl,01/02/2024 04:58:00 PM,January 2024,701 Center Ridge Drive in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Pit Bull,White/Brown
A858212,Dinkum,01/02/2024 05:19:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby
A895692,Chip,01/02/2024 06:00:00 PM,January 2024,9Th St And Baylor in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Cairn Terrier,Tan
A895696,Lalay,01/02/2024 06:30:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby
A895629,Dutches,01/02/2024 09:05:00 PM,January 2024,11511 Angus Rd in Travis (TX),Abandoned,Normal,Dog,Intact Female,2 years,Pit Bull,Black/White
A895697,Rose,01/02/2024 11:25:00 PM,January 2024,9124 Fainwood Ln in Austin (TX),Public Assist,Normal,Cat,Spayed Female,10 years,Siamese Mix,Seal Point
A895698,Linda,01/02/2024 11:25:00 PM,January 2024,9124 Fainwood Ln in Austin (TX),Public Assist,Normal,Cat,Spayed Female,7 years,Domestic Shorthair,Black/Black
A895691,Romeo,01/03/2024 07:37:00 AM,January 2024,2217 Klattenhoff Drive in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,5 months,Labrador Retriever/Pit Bull,Black
A895710,,01/03/2024 08:05:00 AM,January 2024,Wilhelmina Delco in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Golden Retriever/Cocker Spaniel,Buff/White
A895728,,01/03/2024 11:20:00 AM,January 2024,8194 Taza Trail in Austin (TX),Stray,Normal,Cat,Unknown,5 months,Domestic Shorthair,Brown Tabby
A895723,,01/03/2024 11:20:00 AM,January 2024,8194 Taza Trail in Austin (TX),Stray,Normal,Cat,Unknown,8 months,Domestic Shorthair,Black/White
A895736,Toshiro,01/03/2024 12:48:00 PM,January 2024,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair,Brown Tabby/White
A895739,Ivy,01/03/2024 12:53:00 PM,January 2024,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,5 years,Collie Rough Mix,Black/Brown
A895744,*Calzone,01/03/2024 01:16:00 PM,January 2024,Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Rottweiler Mix,Black/Brown
A895743,*Artemist,01/03/2024 01:57:00 PM,January 2024,1015 East Yager Lane in Austin (TX),Stray,Injured,Dog,Intact Male,4 years,Pit Bull,Brown/Tan
A895748,Cooper,01/03/2024 02:20:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Cardigan Welsh Corgi,Brown
A895750,*Thumbelina,01/03/2024 02:30:00 PM,January 2024,2954 Higgins Street in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby
A895751,*Sassifras,01/03/2024 02:30:00 PM,January 2024,2954 Higgins Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black
A895752,*Katerina,01/03/2024 02:30:00 PM,January 2024,2954 Higgins Street in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair,Brown Tabby/White
A895776,Pierre,01/03/2024 02:35:00 PM,January 2024,Murchison St And San Marcos St in Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Standard Poodle/Labrador Retriever,Brown/Silver
A895775,Jade,01/03/2024 02:35:00 PM,January 2024,Murchison St And San Marcos St in Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Standard Poodle/Labrador Retriever,White
A895757,*Polly,01/03/2024 03:05:00 PM,January 2024,8709 Fm 969 in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Australian Cattle Dog,Red Tick
A869087,Stella,01/03/2024 03:10:00 PM,January 2024,7303 Callbran Lane in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever/Queensland Heeler,White/Red
A889595,Ayla,01/03/2024 03:45:00 PM,January 2024,Sixty-Six And A Half Ed Bluestein Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,4 months,German Shepherd Mix,Tan/Black
A895766,Canelo,01/03/2024 04:39:00 PM,January 2024,Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,5 years,Chihuahua Shorthair,Tan
A753614,Delila,01/03/2024 04:55:00 PM,January 2024,2900 South Lakeline Blvd in Cedar Park (TX),Public Assist,Normal,Dog,Spayed Female,7 years,Dachshund Mix,Tricolor
A895769,,01/03/2024 05:22:00 PM,January 2024,Austin Animal Center in Austin (TX),Abandoned,Normal,Dog,Intact Male,4 weeks,Labrador Retriever Mix,Black/White
A895773,*April,01/03/2024 05:22:00 PM,January 2024,Austin Animal Center in Austin (TX),Abandoned,Normal,Dog,Intact Female,4 weeks,Labrador Retriever Mix,Brown/Black
A895772,*Leonardo,01/03/2024 05:22:00 PM,January 2024,Austin Animal Center in Austin (TX),Abandoned,Normal,Dog,Intact Male,4 weeks,Labrador Retriever Mix,Tan/Black
A895771,*Raphael,01/03/2024 05:23:00 PM,January 2024,Austin Animal Center in Austin (TX),Abandoned,Normal,Dog,Intact Male,4 weeks,Labrador Retriever Mix,Black
A895774,*Michelangelo,01/03/2024 05:23:00 PM,January 2024,Austin Animal Center in Austin (TX),Abandoned,Normal,Dog,Intact Male,4 weeks,Labrador Retriever Mix,Brown/Black
A895778,Feleena (Felly),01/03/2024 05:32:00 PM,January 2024,427 Marlock Ridge in Travis (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,Tortie/White
A894265,Gizmo,01/03/2024 06:01:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Shorthair,Orange Tabby
A895787,Chicken Noodle,01/03/2024 06:22:00 PM,January 2024,Suburban Drive And Rowland Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Plott Hound Mix,Black Brindle
A895789,A895789,01/03/2024 11:31:00 PM,January 2024,9317 Kempler Drive in Austin (TX),Stray,Sick,Dog,Intact Male,2 years,Border Collie,Tricolor
A895792,,01/04/2024 07:11:00 AM,January 2024,9810 Old Lockhart Road in Austin (TX),Stray,Injured,Dog,Intact Male,3 years,Jack Russell Terrier Mix,Tan/White
A895793,,01/04/2024 08:29:00 AM,January 2024,1401 Calandendra Drive in Austin (TX),Stray,Sick,Cat,Intact Male,4 months,Domestic Longhair,Brown Tabby/White
A873987,Dice,01/04/2024 11:08:00 AM,January 2024,3201 Century Park Blvd in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A895802,*Everest,01/04/2024 11:11:00 AM,January 2024,4512 Frontier Trail in Austin (TX),Stray,Injured,Cat,Intact Male,3 years,Domestic Shorthair,Black
A895804,,01/04/2024 11:21:00 AM,January 2024,Overbrook Dr And E 51St St in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Siberian Husky Mix,White/Buff
A895801,Venus De Milo,01/04/2024 11:33:00 AM,January 2024,909 Gunter Street in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
A895805,Willie,01/04/2024 11:54:00 AM,January 2024,4307 James Casey St in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Siamese Mix,Seal Point
A895810,,01/04/2024 12:17:00 PM,January 2024,11510 Fm 969 in Travis (TX),Stray,Normal,Dog,Intact Male,6 months,Maltese,White
A895808,Castiel,01/04/2024 12:28:00 PM,January 2024,1005 E 8Th St in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair,Brown Tabby
A895809,,01/04/2024 12:28:00 PM,January 2024,1005 E 8Th St in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair,Brown Tabby
A895817,*Maha,01/04/2024 01:41:00 PM,January 2024,15000 Maha Rd in Travis (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby
A895812,Mouse,01/04/2024 02:00:00 PM,January 2024,4807 Flicker Cove in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,St. Bernard Smooth Coat,White/Brown
A895818,Draco,01/04/2024 02:11:00 PM,January 2024,Pennsylvania Ave in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,English Bulldog,White
A895821,Haptic,01/04/2024 02:40:00 PM,January 2024,427 Marlock Ridge in Travis (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Shorthair,Orange Tabby/White
A895819,Molly,01/04/2024 03:12:00 PM,January 2024,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,5 months,Golden Retriever,Tan/White
A873250,*Flan,01/04/2024 05:37:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A895829,Baby,01/04/2024 06:33:00 PM,January 2024,1941 Gaston Place Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,5 years,Maltese/Toy Poodle,White/Black
A895837,A895837,01/05/2024 07:31:00 AM,January 2024,Ih35 Sb in Austin (TX),Stray,Injured,Dog,Intact Female,1 year,Pit Bull Mix,Black/White
A895846,Davey Jay,01/05/2024 09:11:00 AM,January 2024,Duncan Ln And Kim Lane Dog Park in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Belgian Malinois/Siberian Husky,Brown/Black
A895848,Perico,01/05/2024 10:20:00 AM,January 2024,100 Blk S Lockhart St in Caldwell (TX),Public Assist,Normal,Dog,Intact Male,1 year,Mastiff,White/White
A895850,Luca,01/05/2024 10:25:00 AM,January 2024,100 Blk S Lockhart in Caldwell (TX),Public Assist,Normal,Dog,Intact Male,1 year,Plott Hound/German Shepherd,Brown/Black
A895852,Mochi,01/05/2024 10:55:00 AM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Chihuahua Longhair,Black/Tan
A895853,Chiquitin,01/05/2024 10:55:00 AM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 years,Chihuahua Longhair,White/Brown
A895856,Chai,01/05/2024 11:01:00 AM,January 2024,Ed Acklin Rd in Travis (TX),Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Tortie
A895857,,01/05/2024 11:28:00 AM,January 2024,3704 Commerce St in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Blue Tabby
A895860,Sheba,01/05/2024 11:51:00 AM,January 2024,9200 Mckenzie Rd in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Alaskan Husky,Black/White
A895862,,01/05/2024 12:18:00 PM,January 2024,Bethune Ave in Austin (TX),Stray,Sick,Dog,Intact Male,1 month,Chihuahua Shorthair,White
A895865,Sasha,01/05/2024 12:25:00 PM,January 2024,1807 W Braker Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Great Dane,White
A895866,*Chatty Chad,01/05/2024 12:53:00 PM,January 2024,8104 Taza Trl in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,White/Brown Tabby
A895867,,01/05/2024 12:53:00 PM,January 2024,8104 Taza Trl in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A895859,Piper,01/05/2024 01:09:00 PM,January 2024,508 E Howard Ln in Travis (TX),Stray,Normal,Dog,Spayed Female,3 years,Yorkshire Terrier,White/White
A883338,Duke,01/05/2024 01:30:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,German Shepherd,Black/Brown
A895871,Happy,01/05/2024 01:35:00 PM,January 2024,W Courtyard Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Medium Hair,Orange Tabby
A895870,,01/05/2024 01:51:00 PM,January 2024,1034 Clayton Ln in Austin (TX),Stray,Sick,Cat,Intact Female,3 months,Domestic Shorthair,Black
A892867,*Orion,01/05/2024 02:01:00 PM,January 2024,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,11 months,Pit Bull,Black Brindle
A895874,,01/05/2024 02:06:00 PM,January 2024,Outside Jurisdiction,Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair,Flame Point
A895875,*Cleo,01/05/2024 02:06:00 PM,January 2024,Outside Jurisdiction,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Blue
A895872,*Tegan,01/05/2024 02:20:00 PM,January 2024,Elroy Rd in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Border Collie Mix,Chocolate
A895873,*Sara,01/05/2024 02:20:00 PM,January 2024,Elroy Rd in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Border Collie Mix,Black/White
A890341,Clover,01/05/2024 02:37:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 months,Domestic Shorthair,Brown Tabby
A895880,,01/05/2024 03:06:00 PM,January 2024,427 Marlock Ridge in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair,Blue Tabby
A895869,Sammy,01/05/2024 03:15:00 PM,January 2024,8602 Karling Drive in Travis (TX),Public Assist,Normal,Dog,Neutered Male,10 months,Labrador Retriever,Black
A895868,Surfer Boy,01/05/2024 03:15:00 PM,January 2024,8602 Karling Drive in Travis (TX),Public Assist,Normal,Dog,Neutered Male,9 months,Labrador Retriever,Black
A836408,Poppy,01/05/2024 03:20:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pointer Mix,Tricolor
A895884,Penny,01/05/2024 03:53:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A895893,Xena,01/05/2024 03:53:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby/White
A895886,Tolstoi,01/05/2024 04:28:00 PM,January 2024,Knollwood Drive And Bee Cave Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle,White/Tan
A895890,Rey,01/05/2024 04:46:00 PM,January 2024,1104 Christie Dr in Austin (TX),Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Brown Tabby/White
A895888,A895888,01/05/2024 04:52:00 PM,January 2024,Wilcox Ave And Brookswood Ave in Austin (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Shorthair,Black
A895898,Winnie,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,4 weeks,German Shepherd,Tricolor
A895894,*Lacey,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,5 years,German Shepherd,Brown
A895899,*Corduroy,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Male,4 weeks,German Shepherd,Brown
A895900,Juniper,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Male,4 weeks,Alaskan Husky,Black/White
A895903,*Velvet,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,4 weeks,German Shepherd,Brown/White
A895902,*Satin,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,4 weeks,German Shepherd,Black/White
A895901,Canelo,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Male,4 weeks,German Shepherd,Black
A895895,*Chiffon,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,4 weeks,German Shepherd,Chocolate
A895897,*Georgette,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,4 weeks,Australian Shepherd,Chocolate/White
A895896,*Chenille,01/05/2024 04:55:00 PM,January 2024,Linden in Travis (TX),Stray,Normal,Dog,Intact Female,4 weeks,German Shepherd,Black/Tan
A895823,Exzatik,01/05/2024 05:13:00 PM,January 2024,8704 Weiser Drive Unit B in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull,Brown
A895905,,01/05/2024 06:00:00 PM,January 2024,3300 Golden Aspen Loop in Travis (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Brown Tabby
A895904,,01/05/2024 06:00:00 PM,January 2024,3300 Golden Aspen Loop in Travis (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby
A895907,Cookie,01/05/2024 06:29:00 PM,January 2024,14605 Allard in Travis (TX),Stray,Normal,Dog,Intact Female,6 years,Norfolk Terrier Mix,Brown
A895908,,01/05/2024 06:34:00 PM,January 2024,1705 Frontier Valley in Austin (TX),Stray,Sick,Dog,Intact Male,3 months,Pit Bull Mix,Brown/White
A895909,,01/05/2024 08:56:00 PM,January 2024,6000 Decker in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,German Shepherd Mix,Brown/Black
A895910,Mimi,01/05/2024 11:35:00 PM,January 2024,85 Trinity St in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Dachshund Mix,Black/Brown
A895925,,01/06/2024 11:58:00 AM,January 2024,508 East Howard Lane Trlr 5 in Austin (TX),Stray,Medical,Cat,Unknown,4 years,Domestic Shorthair,Orange Tabby
A895926,Mingo,01/06/2024 12:27:00 PM,January 2024,Travis (TX),Owner Surrender,Injured,Cat,Intact Male,1 year,Domestic Shorthair,Black
A895932,,01/06/2024 01:01:00 PM,January 2024,13021 Dessau Road in Austin (TX),Stray,Medical,Cat,Intact Male,5 years,Domestic Shorthair,White/Blue
A895933,,01/06/2024 01:13:00 PM,January 2024,6103 Manor Road in Austin (TX),Stray,Medical,Dog,Intact Female,1 year,Chihuahua Longhair,Tan/Black
A895941,*Periwinkle,01/06/2024 03:16:00 PM,January 2024,W William Cannon Dr And Brodie Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull,Blue/White
A794930,Pickles,01/06/2024 03:19:00 PM,January 2024,Austin (TX),Stray,Sick,Cat,Neutered Male,4 years,Domestic Shorthair,Orange Tabby
A895946,Kobe,01/06/2024 04:14:00 PM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Plott Hound Mix,Brown Brindle
A895953,Chloe,01/06/2024 09:17:00 PM,January 2024,Ih 35 And Breaker in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Miniature Poodle,Black
A895954,,01/06/2024 09:17:00 PM,January 2024,Ih 35 And Breaker in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle,White
A895971,Sister,01/07/2024 10:30:00 AM,January 2024,5008 Canella Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever,Black
A895969,,01/07/2024 10:30:00 AM,January 2024,5008 Canella Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,7 months,Chihuahua Shorthair,Tan
A895968,,01/07/2024 10:30:00 AM,January 2024,5008 Canella Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,7 months,Chihuahua Shorthair,Black/Tan
A895972,,01/07/2024 10:30:00 AM,January 2024,5008 Canella Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 months,Labrador Retriever,Black
A895970,,01/07/2024 10:30:00 AM,January 2024,5008 Canella Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,Tan
A895974,Max,01/07/2024 10:46:00 AM,January 2024,Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Tan
A895980,*Dolph,01/07/2024 11:55:00 AM,January 2024,13601 Abraham Lincoln St in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull,Fawn
A896016,,01/08/2024 07:49:00 AM,January 2024,South Lamar And Arbys in Austin (TX),Stray,Injured,Dog,Intact Female,1 year,Boxer/Pit Bull,White/Tan
A896017,Fezzik,01/08/2024 07:55:00 AM,January 2024,2521 Rutland Drive in Austin (TX),Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby
A896025,*Bennigan,01/08/2024 10:13:00 AM,January 2024,Black Panda Trail in Travis (TX),Stray,Normal,Dog,Intact Male,8 months,Beagle Mix,White/Black
A894716,Sage,01/08/2024 10:58:00 AM,January 2024,Travis (TX),Owner Surrender,Medical,Dog,Spayed Female,8 years,German Shepherd Mix,Brown/Black
A896021,Ori,01/08/2024 11:14:00 AM,January 2024,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 years,Cardigan Welsh Corgi,Black/White
A896027,,01/08/2024 11:53:00 AM,January 2024,611 Red River Street in Austin (TX),Stray,Injured,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A896030,A896030,01/08/2024 11:55:00 AM,January 2024,3300 Golden Aspen Loop in Travis (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
A896029,A896029,01/08/2024 11:55:00 AM,January 2024,3300 Golden Aspen Loop in Travis (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
