"","Animal ID","Name","IntakeType","IntakeCondition","AnimalType","Sex","Age","OutcomeType","OutcomeDate","LengthofStay","DOB","log_LOS","log_Age","sqrt_Age","Adoption","age2"
"21","A634193","Odin","Public Assist","Normal","Dog","Intact Male",13,"Return to Owner",2024-06-24,0,2011-06-27,0,1.14612803567824,1.52726237491235,0,3.60555127546399
"22","A635137","Bebe","Stray","Aged","Dog","Neutered Male",12,"Return to Owner",2024-08-04,2,2011-08-19,1.09861228866811,1.11394335230684,1.49606798806764,0,3.46410161513775
"23","A636500","Capone","Stray","Medical","Dog","Neutered Male",14,"Rto-Adopt",2024-06-27,5,2010-05-06,1.79175946922805,1.17609125905568,1.55638673424724,0,3.74165738677394
"24","A642528","Socks","Public Assist","Medical","Dog","Neutered Male",15,"Died",2024-09-15,5,2008-11-25,1.79175946922805,1.20411998265592,1.58370634629087,0,3.87298334620742
"25","A648406","*Whistler","Stray","Medical","Cat","Neutered Male",11,"Died",2024-02-03,0,2012-02-26,0,1.07918124604762,1.46247379835441,0,3.3166247903554
"26","A652733","Travis","Stray","Normal","Dog","Neutered Male",11,"Adoption",2024-02-06,29,2012-12-28,3.40119738166216,1.07918124604762,1.46247379835441,1,3.3166247903554
"27","A655122","*Mango","Stray","Normal","Cat","Neutered Male",11,"Transfer",2024-04-30,15,2013-04-28,2.77258872223978,1.07918124604762,1.46247379835441,0,3.3166247903554
"28","A657452","Miss Kitty","Stray","Medical","Cat","Spayed Female",12,"Euthanasia",2024-09-12,6,2012-08-27,1.94591014905531,1.11394335230684,1.49606798806764,0,3.46410161513775
"29","A661876","Blue","Stray","Normal","Dog","Spayed Female",12,"Adoption",2024-03-16,4,2012-02-26,1.6094379124341,1.11394335230684,1.49606798806764,1,3.46410161513775
"30","A662162","Mikey","Stray","Normal","Dog","Neutered Male",10,"Return to Owner",2024-02-07,2,2013-03-02,1.09861228866811,1.04139268515823,1.42606243890537,0,3.16227766016838
"31","A674292","Dallas","Stray","Medical","Dog","Neutered Male",11,"Transfer",2024-04-13,25,2013-03-10,3.25809653802148,1.07918124604762,1.46247379835441,0,3.3166247903554
"32","A678252","Blackie","Stray","Normal","Dog","Neutered Male",10,"Return to Owner",2024-02-20,0,2013-08-06,0,1.04139268515823,1.42606243890537,0,3.16227766016838
"33","A678529","Big Boy","Public Assist","Normal","Dog","Neutered Male",10,"Return to Owner",2024-12-26,2,2014-03-09,1.09861228866811,1.04139268515823,1.42606243890537,0,3.16227766016838
"34","A683831","Sable","Public Assist","Normal","Dog","Spayed Female",11,"Return to Owner",2024-05-28,2,2012-07-15,1.09861228866811,1.07918124604762,1.46247379835441,0,3.3166247903554
"35","A684061","Coco","Stray","Normal","Dog","Spayed Female",11,"Return to Owner",2024-05-07,0,2012-07-18,0,1.07918124604762,1.46247379835441,0,3.3166247903554
"36","A684419",NA,"Stray","Normal","Cat","Spayed Female",10,"Euthanasia",2024-03-15,18,2014-02-23,2.94443897916644,1.04139268515823,1.42606243890537,0,3.16227766016838
"37","A691616","Brees","Stray","Normal","Dog","Neutered Male",9,"Adoption",2024-05-09,29,2014-08-01,3.40119738166216,1,1.38629436111989,1,3
"38","A692781","Bonnie","Owner Surrender","Normal","Dog","Neutered Male",10,"Rto-Adopt",2024-11-21,29,2014-06-25,3.40119738166216,1.04139268515823,1.42606243890537,0,3.16227766016838
"39","A693948","Cricket","Public Assist","Normal","Dog","Neutered Male",9,"Adoption",2024-04-04,15,2014-09-26,2.77258872223978,1,1.38629436111989,1,3
"40","A694317","Mazey","Owner Surrender","Normal","Dog","Spayed Female",10,"Adoption",2024-10-23,43,2014-03-25,3.78418963391826,1.04139268515823,1.42606243890537,1,3.16227766016838
"41","A697575","Manchita","Owner Surrender","Medical","Dog","Neutered Male",18,"Adoption",2024-04-25,14,2006-04-12,2.70805020110221,1.27875360095283,1.65682531931737,1,4.24264068711928
"42","A700551","Princess","Stray","Normal","Dog","Spayed Female",9,"Rto-Adopt",2024-02-26,4,2014-12-31,1.6094379124341,1,1.38629436111989,0,3
"43","A701522","Hope","Stray","Normal","Dog","Spayed Female",10,"Return to Owner",2024-11-12,0,2014-04-30,0,1.04139268515823,1.42606243890537,0,3.16227766016838
"44","A706653","Jubilee","Public Assist","Normal","Cat","Spayed Female",14,"Return to Owner",2024-08-31,3,2010-07-01,1.38629436111989,1.17609125905568,1.55638673424724,0,3.74165738677394
"45","A706829","Shadow","Owner Surrender","Normal","Cat","Neutered Male",8,"Adoption",2024-03-28,77,2015-04-18,4.35670882668959,0.954242509439325,1.34245404645353,1,2.82842712474619
"46","A706846","Mugsie","Stray","Normal","Dog","Neutered Male",8,"Adoption",2024-03-12,5,2015-07-04,1.79175946922805,0.954242509439325,1.34245404645353,1,2.82842712474619
"47","A708364","*Casstopher","Stray","Medical","Cat","Neutered Male",9,"Adoption",2024-07-27,10,2015-01-26,2.39789527279837,1,1.38629436111989,1,3
"48","A708551","Cesar","Abandoned","Normal","Dog","Neutered Male",9,"Rto-Adopt",2024-11-12,5,2014-12-01,1.79175946922805,1,1.38629436111989,0,3
"49","A709319",NA,"Stray","Normal","Dog","Neutered Male",8,"Transfer",2024-01-29,2,2015-06-15,1.09861228866811,0.954242509439325,1.34245404645353,0,2.82842712474619
"50","A712788","Tito","Stray","Normal","Cat","Neutered Male",8,"Adoption",2024-03-09,33,2015-08-25,3.52636052461616,0.954242509439325,1.34245404645353,1,2.82842712474619
"51","A712865","Tiger","Stray","Medical","Cat","Neutered Male",9,"Transfer",2024-06-25,2,2015-04-29,1.09861228866811,1,1.38629436111989,0,3
"52","A713387","Rocky","Owner Surrender","Medical","Dog","Neutered Male",10,"Euthanasia",2024-10-01,7,2014-06-06,2.07944154167984,1.04139268515823,1.42606243890537,0,3.16227766016838
"53","A714953","Lila","Stray","Medical","Dog","Spayed Female",11,"Transfer",2024-07-18,5,2013-07-13,1.79175946922805,1.07918124604762,1.46247379835441,0,3.3166247903554
"54","A716432","Zelda","Stray","Normal","Dog","Spayed Female",9,"Adoption",2024-09-27,38,2015-05-19,3.66356164612965,1,1.38629436111989,1,3
"55","A716432","Zelda","Owner Surrender","Normal","Dog","Spayed Female",9,"Adoption",2024-10-19,18,2015-05-19,2.94443897916644,1,1.38629436111989,1,3
"56","A718583","Onny","Stray","Normal","Dog","Neutered Male",9,"Adoption",2024-11-19,310,2015-01-02,5.73979291217923,1,1.38629436111989,1,3
"57","A718810","*Mimi","Public Assist","Normal","Dog","Spayed Female",9,"Adoption",2024-06-08,26,2015-01-11,3.29583686600433,1,1.38629436111989,1,3
"58","A721194","Cooper","Owner Surrender","Normal","Dog","Neutered Male",8,"Adoption",2024-08-27,231,2015-10-23,5.44673737166631,0.954242509439325,1.34245404645353,1,2.82842712474619
"59","A722952","Guero","Stray","Normal","Dog","Intact Male",10,"Rto-Adopt",2024-10-06,57,2014-03-24,4.06044301054642,1.04139268515823,1.42606243890537,0,3.16227766016838
"60","A724361","Peyton","Owner Surrender","Medical","Dog","Neutered Male",10,"Adoption",2024-07-16,123,2014-05-18,4.82028156560504,1.04139268515823,1.42606243890537,1,3.16227766016838
"61","A726020","Jada","Stray","Normal","Dog","Spayed Female",12,"Return to Owner",2024-06-21,6,2012-05-05,1.94591014905531,1.11394335230684,1.49606798806764,0,3.46410161513775
"62","A727504","*Charlie","Stray","Medical","Cat","Neutered Male",8,"Return to Owner",2024-09-30,0,2016-04-22,0,0.954242509439325,1.34245404645353,0,2.82842712474619
"63","A728220","Luna","Public Assist","Normal","Dog","Spayed Female",7,"Return to Owner",2024-02-01,0,2016-04-01,0,0.903089986991944,1.29356246522598,0,2.64575131106459
"64","A731082","Chauncey","Stray","Normal","Dog","Neutered Male",9,"Adoption",2024-08-06,24,2015-07-15,3.2188758248682,1,1.38629436111989,1,3
"65","A732161","Bobo","Owner Surrender","Medical","Dog","Intact Male",9,"Euthanasia",2024-10-26,7,2015-08-03,2.07944154167984,1,1.38629436111989,0,3
"66","A736605","Oliver Sebastian","Owner Surrender","Normal","Cat","Neutered Male",7,"Adoption",2024-04-05,38,2016-06-13,3.66356164612965,0.903089986991944,1.29356246522598,1,2.64575131106459
"67","A737711","Honey","Owner Surrender","Normal","Dog","Spayed Female",8,"Adoption",2024-12-28,0,2016-08-24,0,0.954242509439325,1.34245404645353,1,2.82842712474619
"68","A738415","Sampson","Stray","Normal","Dog","Neutered Male",8,"Adoption",2024-06-22,67,2015-11-17,4.21950770517611,0.954242509439325,1.34245404645353,1,2.82842712474619
"69","A738415","Sampson","Stray","Normal","Dog","Neutered Male",8,"Rto-Adopt",2024-03-21,5,2015-11-17,1.79175946922805,0.954242509439325,1.34245404645353,0,2.82842712474619
"70","A739874","Goose","Owner Surrender","Medical","Dog","Spayed Female",7,"Transfer",2024-03-25,7,2016-06-08,2.07944154167984,0.903089986991944,1.29356246522598,0,2.64575131106459
"71","A741801","Jac","Owner Surrender","Normal","Cat","Neutered Male",7,"Adoption",2024-07-25,3,2016-11-09,1.38629436111989,0.903089986991944,1.29356246522598,1,2.64575131106459
"72","A743149","Red","Owner Surrender","Medical","Dog","Intact Male",8,"Transfer",2024-02-10,1,2016-02-04,0.693147180559945,0.954242509439325,1.34245404645353,0,2.82842712474619
"73","A743302","Morris","Public Assist","Normal","Cat","Neutered Male",13,"Adoption",2024-10-21,11,2011-08-08,2.484906649788,1.14612803567824,1.52726237491235,1,3.60555127546399
"74","A744775","Max","Stray","Normal","Cat","Neutered Male",10,"Return to Owner",2024-10-24,0,2014-03-07,0,1.04139268515823,1.42606243890537,0,3.16227766016838
"75","A746595","*Tim","Stray","Normal","Dog","Neutered Male",8,"Adoption",2024-12-21,5,2016-04-05,1.79175946922805,0.954242509439325,1.34245404645353,1,2.82842712474619
"76","A753614","Delila","Public Assist","Normal","Dog","Spayed Female",7,"Return to Owner",2024-01-04,1,2016-01-08,0.693147180559945,0.903089986991944,1.29356246522598,0,2.64575131106459
"77","A755878","Eli","Stray","Normal","Dog","Neutered Male",8,"Return to Owner",2024-10-01,1,2016-08-10,0.693147180559945,0.954242509439325,1.34245404645353,0,2.82842712474619
"78","A757139","Zay","Stray","Normal","Dog","Neutered Male",10,"Transfer",2024-10-01,169,2014-04-29,5.13579843705026,1.04139268515823,1.42606243890537,0,3.16227766016838
"79","A758628","Vada","Stray","Normal","Dog","Spayed Female",10,"Return to Owner",2024-09-28,2,2014-01-19,1.09861228866811,1.04139268515823,1.42606243890537,0,3.16227766016838
"80","A760235","Cosmo","Stray","Normal","Dog","Neutered Male",8,"Return to Owner",2024-07-05,0,2015-10-15,0,0.954242509439325,1.34245404645353,0,2.82842712474619
"81","A760235","Cosmo","Stray","Normal","Dog","Neutered Male",9,"Return to Owner",2024-12-19,2,2015-10-15,1.09861228866811,1,1.38629436111989,0,3
"82","A760241","Hazel","Stray","Normal","Dog","Spayed Female",7,"Return to Owner",2024-07-05,0,2017-04-15,0,0.903089986991944,1.29356246522598,0,2.64575131106459
"83","A761966","Zeus","Owner Surrender","Normal","Dog","Neutered Male",10,"Adoption",2024-08-06,132,2013-11-12,4.89034912822175,1.04139268515823,1.42606243890537,1,3.16227766016838
"84","A761967","Poseidon","Owner Surrender","Normal","Dog","Neutered Male",10,"Adoption",2024-06-01,66,2013-11-12,4.20469261939097,1.04139268515823,1.42606243890537,1,3.16227766016838
"85","A762275","Mel","Owner Surrender","Normal","Cat","Spayed Female",12,"Adoption",2024-08-28,217,2011-11-17,5.38449506278909,1.11394335230684,1.49606798806764,1,3.46410161513775
"86","A763020","Lucky","Stray","Medical","Dog","Neutered Male",13,"Return to Owner",2024-10-26,0,2010-12-01,0,1.14612803567824,1.52726237491235,0,3.60555127546399
"87","A763786","Hercules","Stray","Normal","Dog","Intact Male",6,"Adoption",2024-08-08,7,2017-09-16,2.07944154167984,0.845098040014257,1.23822631946233,1,2.44948974278318
"88","A765182","Dino","Owner Surrender","Normal","Dog","Neutered Male",8,"Adoption",2024-09-05,247,2016-01-14,5.51342874616498,0.954242509439325,1.34245404645353,1,2.82842712474619
"89","A766484","Skylar","Public Assist","Normal","Dog","Spayed Female",8,"Return to Owner",2024-06-03,3,2016-02-10,1.38629436111989,0.954242509439325,1.34245404645353,0,2.82842712474619
"90","A766568","Rocky","Stray","Normal","Dog","Neutered Male",10,"Return to Owner",2024-12-19,2,2014-07-05,1.09861228866811,1.04139268515823,1.42606243890537,0,3.16227766016838
"91","A766568","Rocky","Stray","Normal","Dog","Neutered Male",10,"Return to Owner",2024-07-05,0,2014-07-05,0,1.04139268515823,1.42606243890537,0,3.16227766016838
"92","A766588","Theo","Public Assist","Normal","Dog","Neutered Male",8,"Return to Owner",2024-10-07,4,2016-01-01,1.6094379124341,0.954242509439325,1.34245404645353,0,2.82842712474619
"93","A768798","Momma Cat","Stray","Medical","Cat","Spayed Female",14,"Return to Owner",2024-09-28,3,2010-03-25,1.38629436111989,1.17609125905568,1.55638673424724,0,3.74165738677394
"94","A769022","Bitty","Owner Surrender","Aged","Dog","Spayed Female",19,"Euthanasia",2024-04-16,0,2005-03-18,0,1.30102999566398,1.67875853299971,0,4.35889894354067
"95","A770186","Zoey","Owner Surrender","Normal","Dog","Spayed Female",6,"Rto-Adopt",2024-08-22,52,2018-02-01,3.97029191355212,0.845098040014257,1.23822631946233,0,2.44948974278318
"96","A773692","Coco","Public Assist","Normal","Dog","Spayed Female",7,"Return to Owner",2024-08-17,2,2016-12-04,1.09861228866811,0.903089986991944,1.29356246522598,0,2.64575131106459
"97","A774030","Stanley","Stray","Normal","Dog","Intact Male",7,"Return to Owner",2024-05-05,0,2016-06-09,0,0.903089986991944,1.29356246522598,0,2.64575131106459
"98","A775257",NA,"Stray","Normal","Cat","Neutered Male",7,"Transfer",2024-02-21,13,2016-06-27,2.63905732961526,0.903089986991944,1.29356246522598,0,2.64575131106459
"99","A775480","Rocky","Stray","Normal","Dog","Intact Male",13,"Return to Owner",2024-02-16,0,2011-02-16,0,1.14612803567824,1.52726237491235,0,3.60555127546399
"100","A776269","Simba","Stray","Normal","Dog","Neutered Male",7,"Adoption",2024-03-28,30,2016-07-11,3.43398720448515,0.903089986991944,1.29356246522598,1,2.64575131106459
"101","A776270","Canelo","Stray","Normal","Dog","Neutered Male",7,"Adoption",2024-07-11,136,2017-07-11,4.91998092582813,0.903089986991944,1.29356246522598,1,2.64575131106459
"102","A778469","Tex","Stray","Medical","Dog","Neutered Male",10,"Adoption",2024-12-31,28,2014-08-15,3.36729582998647,1.04139268515823,1.42606243890537,1,3.16227766016838
"103","A778810","Shuggie / Sugar","Abandoned","Medical","Dog","Intact Male",6,"Return to Owner",2024-10-17,0,2018-06-20,0,0.845098040014257,1.23822631946233,0,2.44948974278318
"104","A780176","Sam","Stray","Medical","Dog","Neutered Male",10,"Euthanasia",2024-01-29,6,2013-09-10,1.94591014905531,1.04139268515823,1.42606243890537,0,3.16227766016838
"105","A780867","*Daffodil","Stray","Medical","Dog","Spayed Female",5,"Transfer",2024-06-18,11,2018-07-15,2.484906649788,0.778151250383644,1.17435900561955,0,2.23606797749979
"106","A781922","Layla","Public Assist","Normal","Dog","Spayed Female",6,"Return to Owner",2024-09-17,1,2018-08-08,0.693147180559945,0.845098040014257,1.23822631946233,0,2.44948974278318
"107","A783399","*Sugar Cane","Owner Surrender","Normal","Dog","Neutered Male",5,"Adoption",2024-03-23,67,2018-08-30,4.21950770517611,0.778151250383644,1.17435900561955,1,2.23606797749979
"108","A783641","Chester","Owner Surrender","Normal","Dog","Neutered Male",6,"Adoption",2024-03-26,4,2018-01-03,1.6094379124341,0.845098040014257,1.23822631946233,1,2.44948974278318
"109","A783641","Chester","Stray","Normal","Dog","Neutered Male",6,"Adoption",2024-03-01,4,2018-01-03,1.6094379124341,0.845098040014257,1.23822631946233,1,2.44948974278318
"110","A783737","Bailey","Stray","Normal","Dog","Spayed Female",6,"Return to Owner",2024-09-28,2,2018-09-13,1.09861228866811,0.845098040014257,1.23822631946233,0,2.44948974278318
"111","A784303","Kane","Stray","Normal","Dog","Neutered Male",6,"Adoption",2024-08-03,8,2017-11-13,2.19722457733622,0.845098040014257,1.23822631946233,1,2.44948974278318
"112","A784313","Schultz","Owner Surrender","Normal","Dog","Neutered Male",7,"Return to Owner",2024-04-09,6,2016-11-14,1.94591014905531,0.903089986991944,1.29356246522598,0,2.64575131106459
"113","A784474","Mars","Stray","Medical","Cat","Neutered Male",6,"Return to Owner",2024-06-11,12,2017-11-15,2.56494935746154,0.845098040014257,1.23822631946233,0,2.44948974278318
"114","A785562","Lobo","Stray","Normal","Dog","Neutered Male",11,"Return to Owner",2024-12-19,2,2013-12-05,1.09861228866811,1.07918124604762,1.46247379835441,0,3.3166247903554
"115","A785562","Lobo","Stray","Normal","Dog","Neutered Male",10,"Return to Owner",2024-07-05,0,2013-12-05,0,1.04139268515823,1.42606243890537,0,3.16227766016838
"116","A786379","Bear","Stray","Medical","Dog","Neutered Male",12,"Return to Owner",2024-03-04,0,2012-02-22,0,1.11394335230684,1.49606798806764,0,3.46410161513775
"117","A786587","*King","Stray","Normal","Dog","Neutered Male",10,"Adoption",2024-12-28,248,2014-12-28,5.51745289646471,1.04139268515823,1.42606243890537,1,3.16227766016838
"118","A786766","Millie","Public Assist","Normal","Dog","Spayed Female",7,"Return to Owner",2024-08-30,0,2017-01-01,0,0.903089986991944,1.29356246522598,0,2.64575131106459
"119","A786851","Rosie","Public Assist","Normal","Dog","Spayed Female",9,"Return to Owner",2024-10-19,2,2015-01-03,1.09861228866811,1,1.38629436111989,0,3
"120","A790853","Cookie","Public Assist","Normal","Dog","Neutered Male",6,"Return to Owner",2024-01-19,9,2017-03-17,2.30258509299405,0.845098040014257,1.23822631946233,0,2.44948974278318
"121","A791041","Kapone","Stray","Normal","Dog","Neutered Male",10,"Return to Owner",2024-10-09,12,2014-06-27,2.56494935746154,1.04139268515823,1.42606243890537,0,3.16227766016838
"122","A792484","Taros","Stray","Normal","Dog","Neutered Male",6,"Return to Owner",2024-12-13,3,2018-04-11,1.38629436111989,0.845098040014257,1.23822631946233,0,2.44948974278318
"123","A792577","Legend","Owner Surrender","Normal","Dog","Intact Male",7,"Adoption",2024-04-18,55,2017-04-12,4.02535169073515,0.903089986991944,1.29356246522598,1,2.64575131106459
"124","A792577","Legend","Abandoned","Normal","Dog","Neutered Male",7,"Adoption",2024-10-18,67,2017-04-12,4.21950770517611,0.903089986991944,1.29356246522598,1,2.64575131106459
"125","A794769","Bombom","Stray","Medical","Dog","Intact Male",5,"Transfer",2024-08-23,1,2018-09-12,0.693147180559945,0.778151250383644,1.17435900561955,0,2.23606797749979
"126","A794930","Pickles","Stray","Medical","Cat","Neutered Male",4,"Euthanasia",2024-01-07,1,2019-03-11,0.693147180559945,0.698970004336019,1.09861228866811,0,2
"127","A795840","Princess","Public Assist","Normal","Dog","Spayed Female",5,"Return to Owner",2024-05-10,11,2018-07-25,2.484906649788,0.778151250383644,1.17435900561955,0,2.23606797749979
"128","A796444","Cookie","Stray","Normal","Dog","Spayed Female",7,"Return to Owner",2024-07-29,11,2017-06-01,2.484906649788,0.903089986991944,1.29356246522598,0,2.64575131106459
"129","A796679","Hyper","Owner Surrender","Normal","Dog","Neutered Male",5,"Euthanasia",2024-10-02,0,2019-04-27,0,0.778151250383644,1.17435900561955,0,2.23606797749979
"130","A797136","Precious","Owner Surrender","Medical","Dog","Spayed Female",14,"Euthanasia",2024-01-19,0,2009-06-09,0,1.17609125905568,1.55638673424724,0,3.74165738677394
"131","A798238","Kylo Rei","Stray","Medical","Dog","Neutered Male",7,"Return to Owner",2024-08-04,13,2017-06-23,2.63905732961526,0.903089986991944,1.29356246522598,0,2.64575131106459
"132","A799247","Cash","Owner Surrender","Medical","Dog","Neutered Male",10,"Adoption",2024-11-05,28,2014-10-16,3.36729582998647,1.04139268515823,1.42606243890537,1,3.16227766016838
"133","A799589","Dondee","Stray","Normal","Dog","Spayed Female",5,"Return to Owner",2024-10-21,7,2019-10-15,2.07944154167984,0.778151250383644,1.17435900561955,0,2.23606797749979
"134","A806943","Jimmy John","Stray","Normal","Dog","Neutered Male",11,"Transfer",2024-10-22,5,2013-10-18,1.79175946922805,1.07918124604762,1.46247379835441,0,3.3166247903554
"135","A808588","Roscoe","Stray","Medical","Dog","Neutered Male",5,"Return to Owner",2024-08-05,4,2019-02-10,1.6094379124341,0.778151250383644,1.17435900561955,0,2.23606797749979
"136","A808639","*Gwen","Owner Surrender","Normal","Cat","Spayed Female",4,"Adoption",2024-03-09,4,2019-10-11,1.6094379124341,0.698970004336019,1.09861228866811,1,2
"137","A810182","Mo","Stray","Medical","Dog","Neutered Male",12,"Transfer",2024-05-03,9,2011-12-09,2.30258509299405,1.11394335230684,1.49606798806764,0,3.46410161513775
"138","A810981","Abe","Owner Surrender","Normal","Dog","Neutered Male",6,"Adoption",2024-11-19,268,2017-12-23,5.59471137960184,0.845098040014257,1.23822631946233,1,2.44948974278318
"139","A810996","Princess","Stray","Medical","Dog","Spayed Female",6,"Euthanasia",2024-03-22,0,2017-12-25,0,0.845098040014257,1.23822631946233,0,2.44948974278318
"140","A810996","Princess","Owner Surrender","Normal","Dog","Intact Female",6,"Adoption",2024-02-14,22,2017-12-25,3.13549421592915,0.845098040014257,1.23822631946233,1,2.44948974278318
"141","A810996","Princess","Owner Surrender","Normal","Dog","Intact Female",6,"Adoption",2024-03-20,57,2017-12-25,4.06044301054642,0.845098040014257,1.23822631946233,1,2.44948974278318
"142","A810996","Princess","Owner Surrender","Normal","Dog","Spayed Female",6,"Adoption",2024-03-20,34,2017-12-25,3.55534806148941,0.845098040014257,1.23822631946233,1,2.44948974278318
"143","A810996","Princess","Owner Surrender","Normal","Dog","Spayed Female",6,"Euthanasia",2024-03-22,36,2017-12-25,3.61091791264422,0.845098040014257,1.23822631946233,0,2.44948974278318
"144","A811098","*Tuna","Stray","Normal","Dog","Spayed Female",5,"Adoption",2024-11-23,95,2019-10-27,4.56434819146784,0.778151250383644,1.17435900561955,1,2.23606797749979
"145","A811222","Banana Salad","Stray","Normal","Cat","Spayed Female",6,"Adoption",2024-06-05,10,2017-12-30,2.39789527279837,0.845098040014257,1.23822631946233,1,2.44948974278318
"146","A811376","Maya Marie Rose","Public Assist","Normal","Dog","Spayed Female",6,"Return to Owner",2024-11-09,3,2018-01-02,1.38629436111989,0.845098040014257,1.23822631946233,0,2.44948974278318
"147","A816397","Smoke","Owner Surrender","Normal","Dog","Neutered Male",9,"Adoption",2024-10-04,164,2015-01-25,5.10594547390058,1,1.38629436111989,1,3
"148","A816972","Dino","Public Assist","Normal","Dog","Intact Male",5,"Rto-Adopt",2024-03-14,23,2019-02-21,3.17805383034795,0.778151250383644,1.17435900561955,0,2.23606797749979
"149","A817387","Toby","Public Assist","Normal","Dog","Intact Male",5,"Rto-Adopt",2024-08-27,5,2019-08-25,1.79175946922805,0.778151250383644,1.17435900561955,0,2.23606797749979
"150","A817474","Blossom","Stray","Normal","Dog","Intact Female",4,"Adoption",2024-12-27,140,2020-01-20,4.94875989037817,0.698970004336019,1.09861228866811,1,2
"151","A817690","Piggy Smalls","Stray","Normal","Livestock","Intact Male",4,"Adoption",2024-04-01,31,2019-11-23,3.46573590279973,0.698970004336019,1.09861228866811,1,2
"152","A818223","Duke","Stray","Normal","Dog","Neutered Male",7,"Adoption",2024-06-15,54,2017-06-04,4.00733318523247,0.903089986991944,1.29356246522598,1,2.64575131106459
"153","A818561","Harley","Public Assist","Normal","Dog","Neutered Male",10,"Return to Owner",2024-06-08,4,2014-06-10,1.6094379124341,1.04139268515823,1.42606243890537,0,3.16227766016838
"154","A820051","Sadie","Stray","Pregnant","Dog","Intact Female",4,"Transfer",2024-09-03,3,2019-11-10,1.38629436111989,0.698970004336019,1.09861228866811,0,2
"155","A820676","Icy","Owner Surrender","Normal","Dog","Neutered Male",5,"Rto-Adopt",2024-11-21,29,2019-05-27,3.40119738166216,0.778151250383644,1.17435900561955,0,2.23606797749979
