Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A878456,*Cora,01/02/2024 03:51:00 PM,Jan 2024,04/12/2020,Adoption,Foster,Dog,Spayed Female,3 years,Pit Bull,Tan/White
A894719,Luno,01/02/2024 04:05:00 PM,Jan 2024,06/14/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Blue/White
A893710,Lilith,01/02/2024 04:12:00 PM,Jan 2024,11/27/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue/White
A892634,Lumine,01/02/2024 04:20:00 PM,Jan 2024,06/08/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Medium Hair,Blue Tabby
A894028,Mochi,01/02/2024 04:29:00 PM,Jan 2024,09/01/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,White/Cream Tabby
A887714,*Bubba,01/02/2024 04:31:00 PM,Jan 2024,08/25/2020,Adoption,,Dog,Neutered Male,3 years,American Bulldog Mix,Black/White
A892177,*Leo,01/02/2024 04:34:00 PM,Jan 2024,11/02/2018,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby
A895023,Alfie,01/02/2024 04:36:00 PM,Jan 2024,03/20/2023,Adoption,,Dog,Neutered Male,9 months,Rottweiler,Black/Brown
A894968,Stanely,01/02/2024 04:39:00 PM,Jan 2024,12/19/2016,Rto-Adopt,,Dog,Neutered Male,7 years,Pekingese,Cream
A894551,*Mercy,01/02/2024 04:42:00 PM,Jan 2024,10/11/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A895000,Lady Bird,01/02/2024 04:50:00 PM,Jan 2024,07/20/2022,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Chocolate/White
A890095,Greta,01/02/2024 05:01:00 PM,Jan 2024,10/02/2021,Adoption,,Dog,Spayed Female,2 years,Great Pyrenees,White
A891455,Jack,01/02/2024 05:04:00 PM,Jan 2024,10/23/2017,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever/Anatol Shepherd,Tan/White
A895027,Axell,01/02/2024 05:10:00 PM,Jan 2024,08/20/2023,Adoption,,Dog,Neutered Male,4 months,Belgian Malinois,Brown/Black
A890190,Luna,01/02/2024 05:18:00 PM,Jan 2024,08/03/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby
A894312,Millie,01/02/2024 05:32:00 PM,Jan 2024,12/06/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Black/White
A894620,Johnny Walker Cash,01/02/2024 05:39:00 PM,Jan 2024,12/12/2021,Adoption,,Dog,Neutered Male,2 years,Beagle,Tricolor/White
A895129,Ivy,01/02/2024 05:47:00 PM,Jan 2024,10/16/2023,Adoption,,Dog,Spayed Female,2 months,German Shepherd,Brown
A894904,Chewy,01/02/2024 05:54:00 PM,Jan 2024,12/18/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White
A895150,Ringo,01/02/2024 05:57:00 PM,Jan 2024,08/22/2023,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Orange Tabby/White
A894995,Astrid,01/02/2024 06:10:00 PM,Jan 2024,12/19/2021,Adoption,,Dog,Spayed Female,2 years,Rottweiler,Black/Brown
A894989,Freyja,01/02/2024 06:10:00 PM,Jan 2024,12/19/2021,Adoption,,Dog,Spayed Female,2 years,Doberman Pinsch,Black/Tan
A894161,Peluche,01/02/2024 06:21:00 PM,Jan 2024,12/11/2019,Adoption,,Dog,Neutered Male,4 years,Dachshund Longhair,Tricolor
A895208,Vicente,01/02/2024 06:23:00 PM,Jan 2024,09/12/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair,Brown Tabby
A882236,Duke,01/02/2024 06:54:00 PM,Jan 2024,01/02/2023,Return to Owner,,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
A895367,Honey,01/03/2024 10:46:00 AM,Jan 2024,04/27/2023,Adoption,,Cat,Intact Female,8 months,Domestic Shorthair,Orange Tabby/White
A895495,,01/03/2024 01:07:00 PM,Jan 2024,12/29/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Calico
A892397,Frankie,01/03/2024 01:40:00 PM,Jan 2024,09/05/2023,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair,White/Blue
A873987,Dice,01/03/2024 02:29:00 PM,Jan 2024,02/03/2021,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A895128,,01/03/2024 02:45:00 PM,Jan 2024,10/16/2023,Adoption,,Dog,Intact Female,2 months,German Shepherd,Black
A746198,Zoro,01/03/2024 02:55:00 PM,Jan 2024,12/14/2016,Transfer,Partner,Dog,Intact Male,7 years,Siberian Husky,Black/White
A892061,Mr. Dusty,01/03/2024 03:12:00 PM,Jan 2024,09/24/2023,Adoption,,Cat,Intact Male,3 months,Domestic Shorthair,Blue
A895627,Chopper,01/03/2024 03:16:00 PM,Jan 2024,05/02/2022,Return to Owner,,Dog,Intact Male,1 year,Pit Bull,White/Black
A895099,*Domino,01/03/2024 04:13:00 PM,Jan 2024,12/21/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A893158,*Ike,01/03/2024 04:22:00 PM,Jan 2024,09/28/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A892875,Hudson,01/03/2024 04:33:00 PM,Jan 2024,11/11/2022,Adoption,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Black Brindle/White
A889468,Apollo,01/03/2024 04:45:00 PM,Jan 2024,09/22/2019,Adoption,,Dog,Neutered Male,4 years,Pit Bull,Brown/White
A893387,Bagel,01/03/2024 04:54:00 PM,Jan 2024,08/20/2023,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Orange Tabby/White
A894199,Goku,01/03/2024 05:07:00 PM,Jan 2024,07/06/2023,Adoption,,Dog,Neutered Male,5 months,Pit Bull Mix,Chocolate
A895710,,01/03/2024 05:09:00 PM,Jan 2024,11/21/2023,Transfer,Partner,Dog,Intact Female,1 month,Golden Retriever/Cocker Spaniel,Buff/White
A893976,Samson,01/03/2024 05:22:00 PM,Jan 2024,12/01/2022,Adoption,,Dog,Neutered Male,1 year,Rottweiler,Black/Tan
A894424,Cleo,01/03/2024 05:44:00 PM,Jan 2024,10/27/2023,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A894416,Ranger,01/03/2024 05:45:00 PM,Jan 2024,12/08/2020,Adoption,,Dog,Neutered Male,3 years,Great Pyrenees,White
A893160,*Ruthie,01/03/2024 06:00:00 PM,Jan 2024,09/28/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie
A895478,Podo,01/03/2024 06:23:00 PM,Jan 2024,03/01/2023,Adoption,,Dog,Spayed Female,10 months,Beagle,Black/White
A892867,*Orion,01/03/2024 06:35:00 PM,Jan 2024,01/11/2023,Adoption,,Dog,Neutered Male,11 months,Pit Bull,Black Brindle
A895524,Fluffles,01/03/2024 06:42:00 PM,Jan 2024,12/30/2014,Adoption,,Dog,Neutered Male,9 years,West Highland Mix,White
A731839,Chingy,01/03/2024 07:00:00 PM,Jan 2024,09/28/2015,Transfer,Partner,Dog,Intact Female,8 years,Chow Chow Mix,Red
A895669,,01/04/2024 09:15:00 AM,Jan 2024,01/02/2023,Transfer,Snr,Cat,Intact Female,1 year,Domestic Longhair,Brown Tabby
A894655,,01/04/2024 09:15:00 AM,Jan 2024,12/13/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,White/Brown Tabby
A895252,*Teddy,01/04/2024 09:16:00 AM,Jan 2024,07/25/2019,Transfer,Snr,Cat,Neutered Male,4 years,Domestic Shorthair,Brown Tabby/White
A895480,,01/04/2024 09:17:00 AM,Jan 2024,12/29/2021,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Flame Point
A895131,Skelly,01/04/2024 09:17:00 AM,Jan 2024,12/22/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Blue Tabby
A895453,,01/04/2024 09:18:00 AM,Jan 2024,04/29/2023,Transfer,Snr,Cat,Intact Female,8 months,Domestic Medium Hair,Brown Tabby
A895330,,01/04/2024 09:18:00 AM,Jan 2024,07/12/2023,Transfer,Snr,Cat,Intact Female,5 months,Domestic Shorthair,Calico
A895349,,01/04/2024 09:19:00 AM,Jan 2024,12/27/2021,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Torbie
A895352,,01/04/2024 09:19:00 AM,Jan 2024,12/27/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A895501,,01/04/2024 10:42:00 AM,Jan 2024,12/30/2021,Died,At Vet,Dog,Unknown,2 years,German Shepherd,Brown/Black
A895698,Linda,01/04/2024 11:12:00 AM,Jan 2024,01/03/2017,Return to Owner,,Cat,Spayed Female,7 years,Domestic Shorthair,Black/Black
A895697,Rose,01/04/2024 11:12:00 AM,Jan 2024,12/08/2013,Return to Owner,,Cat,Spayed Female,10 years,Siamese Mix,Seal Point
A894556,Kanna,01/04/2024 11:26:00 AM,Jan 2024,06/29/2023,Adoption,,Dog,Spayed Female,6 months,Shiba Inu/Chihuahua Shorthair,Brown
A895789,A895789,01/04/2024 11:30:00 AM,Jan 2024,01/03/2022,Transfer,Partner,Dog,Intact Male,2 years,Border Collie,Tricolor
A895792,,01/04/2024 11:42:00 AM,Jan 2024,01/04/2021,Transfer,Partner,Dog,Intact Male,3 years,Jack Russell Terrier Mix,Tan/White
A753614,Delila,01/04/2024 11:51:00 AM,Jan 2024,01/08/2016,Return to Owner,,Dog,Spayed Female,7 years,Dachshund Mix,Tricolor
A889609,*Bonnaroo,01/04/2024 12:05:00 PM,Jan 2024,03/25/2021,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown
A895064,Veneno,01/04/2024 12:10:00 PM,Jan 2024,10/21/2023,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A895149,,01/04/2024 01:08:00 PM,Jan 2024,08/22/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Blue
A895776,Pierre,01/04/2024 02:20:00 PM,Jan 2024,01/03/2022,Return to Owner,,Dog,Intact Male,2 years,Standard Poodle/Labrador Retriever,Brown/Silver
A895775,Jade,01/04/2024 02:20:00 PM,Jan 2024,01/04/2021,Return to Owner,,Dog,Intact Male,3 years,Standard Poodle/Labrador Retriever,White
A891966,*Loki,01/04/2024 03:12:00 PM,Jan 2024,10/15/2023,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Longhair Mix,Brown
A895102,Toki,01/04/2024 04:03:00 PM,Jan 2024,12/21/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby
A891687,Luna,01/04/2024 04:03:00 PM,Jan 2024,08/26/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby
A895498,,01/04/2024 04:12:00 PM,Jan 2024,07/01/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Brown Tabby/White
A895500,,01/04/2024 04:12:00 PM,Jan 2024,07/01/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Brown Tabby
A895499,,01/04/2024 04:12:00 PM,Jan 2024,06/29/2023,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Calico
A894292,*Simone,01/04/2024 04:22:00 PM,Jan 2024,10/06/2023,Transfer,Partner,Dog,Spayed Female,2 months,Australian Cattle Dog,Black/White
A895528,Junior,01/04/2024 04:25:00 PM,Jan 2024,05/30/2023,Adoption,,Cat,Neutered Male,7 months,Domestic Medium Hair,Black/White
A894788,*Countess,01/04/2024 04:31:00 PM,Jan 2024,06/15/2023,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby
A830147,Shadow Heart,01/04/2024 04:32:00 PM,Jan 2024,10/21/2023,Adoption,,Dog,Spayed Female,2 months,Chow Chow,Black
A895677,June,01/04/2024 04:37:00 PM,Jan 2024,01/02/2019,Adoption,,Cat,Spayed Female,5 years,Domestic Medium Hair,Tortie Point
A894762,*Dasher,01/04/2024 04:38:00 PM,Jan 2024,10/15/2023,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Black/White
A891453,Simon,01/04/2024 04:43:00 PM,Jan 2024,06/23/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Brown Tabby
A895009,Ace,01/04/2024 04:52:00 PM,Jan 2024,07/20/2023,Adoption,,Dog,Neutered Male,5 months,American Bulldog Mix,Brown/White
A894541,*Marceline,01/04/2024 04:57:00 PM,Jan 2024,04/11/2023,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Black
A894737,,01/04/2024 05:13:00 PM,Jan 2024,05/14/2023,Adoption,,Dog,Spayed Female,7 months,Chihuahua Shorthair Mix,Tan
A892280,,01/04/2024 05:19:00 PM,Jan 2024,09/19/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby/White
A893369,Boba,01/04/2024 05:21:00 PM,Jan 2024,09/20/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Calico
A894101,Daisy,01/04/2024 05:29:00 PM,Jan 2024,08/19/2023,Adoption,,Dog,Spayed Female,4 months,Pit Bull,White
A890414,Chino,01/04/2024 05:34:00 PM,Jan 2024,01/30/2023,Adoption,,Dog,Neutered Male,11 months,Australian Kelpie Mix,Black/White
A894026,Bbang,01/04/2024 05:38:00 PM,Jan 2024,06/01/2023,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Cream Tabby/White
A893362,,01/04/2024 05:43:00 PM,Jan 2024,03/20/2023,Adoption,,Cat,Spayed Female,9 months,Domestic Shorthair,Blue
A895399,,01/04/2024 05:52:00 PM,Jan 2024,12/28/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White
A895382,Buttercup,01/04/2024 06:01:00 PM,Jan 2024,12/28/2021,Rto-Adopt,,Dog,Spayed Female,2 years,Labrador Retriever,Black
A895409,,01/04/2024 06:02:00 PM,Jan 2024,10/16/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A895162,Pepper,01/04/2024 06:08:00 PM,Jan 2024,12/23/2022,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
A887215,Max,01/04/2024 06:10:00 PM,Jan 2024,08/17/2019,Adoption,Foster,Dog,Neutered Male,4 years,Border Collie/Labrador Retriever,Black/White
A895091,*Saturn,01/04/2024 06:13:00 PM,Jan 2024,12/21/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A895405,Moonlight,01/04/2024 06:19:00 PM,Jan 2024,12/28/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby
A895461,,01/04/2024 06:26:00 PM,Jan 2024,10/14/2023,Adoption,,Dog,Neutered Male,2 months,German Shepherd,Black
A895006,Cherry,01/04/2024 06:31:00 PM,Jan 2024,06/20/2023,Adoption,,Dog,Spayed Female,6 months,Pit Bull,Brown/White
A895487,Gracie,01/04/2024 06:50:00 PM,Jan 2024,06/04/2023,Return to Owner,,Dog,Intact Female,7 months,American Bulldog,White/Gray
A895335,Kito,01/05/2024 11:13:00 AM,Jan 2024,12/27/2021,Return to Owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair,White/Brown
A890637,Reyna,01/05/2024 11:27:00 AM,Jan 2024,10/10/2021,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,Brown Brindle/Brown Brindle
A895132,Harley,01/05/2024 11:37:00 AM,Jan 2024,06/27/2023,Adoption,,Cat,Intact Female,6 months,Domestic Shorthair,Brown Tabby/White
A895095,*Willy,01/05/2024 12:49:00 PM,Jan 2024,12/21/2021,Adoption,,Cat,Intact Male,2 years,Domestic Shorthair,Blue Tabby
A895787,Chicken Noodle,01/05/2024 01:39:00 PM,Jan 2024,08/03/2019,Return to Owner,,Dog,Neutered Male,4 years,Plott Hound Mix,Black Brindle
A889856,Gus,01/05/2024 02:30:00 PM,Jan 2024,09/28/2022,Adoption,,Dog,Intact Male,1 year,Black/Tan Hound Mix,Black/Brown
A857983,*Dale,01/05/2024 02:39:00 PM,Jan 2024,05/24/2017,Adoption,Foster,Dog,Neutered Male,6 years,Pit Bull Mix,Fawn/White
A894265,Gizmo,01/05/2024 03:39:00 PM,Jan 2024,12/05/2018,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair,Orange Tabby
A895862,,01/05/2024 03:43:00 PM,Jan 2024,11/05/2023,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair,White
A893659,Neo,01/05/2024 04:03:00 PM,Jan 2024,11/26/2022,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Black/White
A888757,*Jack Gordo,01/05/2024 04:03:00 PM,Jan 2024,05/18/2022,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White
A892021,Timber,01/05/2024 04:09:00 PM,Jan 2024,10/26/2023,Adoption,Foster,Dog,Neutered Male,2 months,Siberian Husky Mix,Tricolor/Black
A890905,*Corra,01/05/2024 04:09:00 PM,Jan 2024,10/14/2021,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black
A892022,Everest,01/05/2024 04:15:00 PM,Jan 2024,10/26/2023,Adoption,Foster,Dog,Neutered Male,2 months,Siberian Husky/German Shepherd,White
A894399,Umi,01/05/2024 04:15:00 PM,Jan 2024,10/23/2023,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Black Brindle
A893368,Ruby,01/05/2024 04:26:00 PM,Jan 2024,09/20/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie
A895348,Luna,01/05/2024 04:31:00 PM,Jan 2024,06/27/2023,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby/White
A895459,,01/05/2024 04:37:00 PM,Jan 2024,10/14/2023,Adoption,,Dog,Neutered Male,2 months,German Shepherd,Tan
A895203,Baily,01/05/2024 04:47:00 PM,Jan 2024,06/23/2023,Adoption,,Dog,Spayed Female,6 months,German Shepherd Mix,Black/Brown
A894801,*Missy,01/05/2024 04:53:00 PM,Jan 2024,06/15/2023,Adoption,,Dog,Spayed Female,6 months,Chinese Sharpei,Tan/White
A888804,Pepper,01/05/2024 04:59:00 PM,Jan 2024,09/13/2021,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White
A894763,Zoe,01/05/2024 05:00:00 PM,Jan 2024,10/15/2023,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Brown/White
A895819,Molly,01/05/2024 05:00:00 PM,Jan 2024,08/04/2023,Transfer,Partner,Dog,Spayed Female,5 months,Golden Retriever,Tan/White
A894764,Willie,01/05/2024 05:08:00 PM,Jan 2024,10/15/2023,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Black/White
A893530,Molly,01/05/2024 05:20:00 PM,Jan 2024,11/22/2021,Adoption,,Dog,Spayed Female,2 years,Rat Terrier Mix,White
A892694,Kaliah,01/05/2024 05:25:00 PM,Jan 2024,11/08/2022,Adoption,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
A895475,Mochi,01/05/2024 05:35:00 PM,Jan 2024,12/29/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Blue Tabby
A894861,Luna,01/05/2024 05:39:00 PM,Jan 2024,10/09/2023,Adoption,,Dog,Spayed Female,2 months,German Shepherd,White
A894167,Lola,01/05/2024 05:54:00 PM,Jan 2024,01/05/2017,Adoption,,Dog,Spayed Female,7 years,Labrador Retriever,Chocolate/White
A894401,Mae,01/05/2024 06:00:00 PM,Jan 2024,12/08/2021,Adoption,,Dog,Spayed Female,2 years,Pit Bull,Brown/Brown
A895066,Bindi,01/05/2024 06:01:00 PM,Jan 2024,10/21/2023,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A895427,Sunny,01/05/2024 06:11:00 PM,Jan 2024,06/28/2023,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby
A893926,Morty,01/05/2024 06:20:00 PM,Jan 2024,11/30/2022,Adoption,,Dog,Neutered Male,1 year,Siberian Husky/Great Pyrenees,White
A895656,,01/05/2024 06:26:00 PM,Jan 2024,10/31/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A893632,Cheif,01/05/2024 06:32:00 PM,Jan 2024,08/25/2023,Adoption,,Dog,Neutered Male,4 months,German Shepherd,Sable
A895534,Charlotte,01/05/2024 06:40:00 PM,Jan 2024,12/30/2020,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair,Brown Tabby/White
A894765,*Dancer,01/05/2024 06:41:00 PM,Jan 2024,10/15/2023,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Black/White
A894857,Freya,01/05/2024 06:48:00 PM,Jan 2024,10/24/2023,Adoption,,Dog,Spayed Female,2 months,German Shepherd,Black/Brown
A895155,,01/05/2024 06:55:00 PM,Jan 2024,08/22/2023,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Black/White
A864042,*Beau,01/06/2024 11:26:00 AM,Jan 2024,08/20/2021,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull,Brown Brindle
A825183,,01/06/2024 12:05:00 PM,Jan 2024,10/29/2019,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Medium Hair,Black
A895552,Milo,01/06/2024 12:06:00 PM,Jan 2024,12/31/2017,Transfer,Partner,Cat,Unknown,6 years,Domestic Shorthair,Blue Tabby/White
A895088,Sebastian,01/06/2024 12:29:00 PM,Jan 2024,08/06/2023,Rto-Adopt,,Dog,Neutered Male,5 months,Pit Bull,Brown Brindle/White
A895094,Athena,01/06/2024 12:29:00 PM,Jan 2024,08/06/2023,Rto-Adopt,,Dog,Spayed Female,5 months,Catahoula,Brown Brindle/White
A880886,*Elderberry,01/06/2024 12:56:00 PM,Jan 2024,05/15/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A889630,*Gamara,01/06/2024 01:23:00 PM,Jan 2024,08/25/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
A889632,*Godzilla,01/06/2024 01:24:00 PM,Jan 2024,08/25/2023,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A895527,Austin,01/06/2024 01:28:00 PM,Jan 2024,10/25/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A890425,*Blusky,01/06/2024 01:42:00 PM,Jan 2024,10/06/2021,Adoption,,Dog,Neutered Male,2 years,Siberian Husky,Tan/White
A892672,*Guinness,01/06/2024 01:56:00 PM,Jan 2024,11/08/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black
A894172,Silly Goose,01/06/2024 02:08:00 PM,Jan 2024,11/10/2023,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A895355,*Swiffer,01/06/2024 03:15:00 PM,Jan 2024,12/27/2022,Adoption,,Cat,Neutered Male,1 year,Siamese Mix,Lynx Point/White
A893159,Agent Coulson,01/06/2024 03:16:00 PM,Jan 2024,09/28/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A891505,*Kate,01/06/2024 03:31:00 PM,Jan 2024,04/08/2023,Adoption,,Dog,Spayed Female,8 months,German Shepherd Mix,Tan/Black
A891787,Deimos,01/06/2024 03:55:00 PM,Jan 2024,08/27/2023,Adoption,,Cat,Intact Male,4 months,Domestic Shorthair,Blue
